date,n_total
2019-01-01,35
2019-01-02,29
2019-01-03,35
2019-01-04,25
2019-01-05,38
2019-01-06,28
2019-01-07,32
2019-01-08,27
2019-01-09,28
2019-01-10,28
2019-01-11,28
2019-01-12,30
2019-01-13,30
2019-01-14,31
2019-01-15,27
2019-01-16,34
2019-01-17,30
2019-01-18,34
2019-01-19,29
2019-01-20,36
2019-01-21,33
2019-01-22,33
2019-01-23,31
2019-01-24,36
2019-01-25,29
2019-01-26,32
2019-01-27,29
2019-01-28,34
2019-01-29,31
2019-01-30,32
2019-01-31,35
2019-02-01,35
2019-02-02,27
2019-02-03,32
2019-02-04,37
2019-02-05,32
2019-02-06,28
2019-02-07,35
2019-02-08,35
2019-02-09,34
2019-02-10,30
2019-02-11,21
2019-02-12,34
2019-02-13,25
2019-02-14,32
2019-02-15,27
2019-02-16,35
2019-02-17,28
2019-02-18,32
2019-02-19,26
2019-02-20,26
2019-02-21,33
2019-02-22,33
2019-02-23,27
2019-02-24,37
2019-02-25,31
2019-02-26,31
2019-02-27,35
2019-02-28,33
2019-03-01,29
2019-03-02,26
2019-03-03,34
2019-03-04,28
2019-03-05,32
2019-03-06,31
2019-03-07,34
2019-03-08,34
2019-03-09,37
2019-03-10,34
2019-03-11,32
2019-03-12,32
2019-03-13,34
2019-03-14,32
2019-03-15,28
2019-03-16,34
2019-03-17,32
2019-03-18,24
2019-03-19,31
2019-03-20,32
2019-03-21,32
2019-03-22,31
2019-03-23,34
2019-03-24,30
2019-03-25,28
2019-03-26,35
2019-03-27,29
2019-03-28,27
2019-03-29,28
2019-03-30,30
2019-03-31,27
2019-04-01,24
2019-04-02,28
2019-04-03,29
2019-04-04,30
2019-04-05,33
2019-04-06,34
2019-04-07,34
2019-04-08,25
2019-04-09,29
2019-04-10,26
2019-04-11,28
2019-04-12,30
2019-04-13,27
2019-04-14,29
2019-04-15,36
2019-04-16,23
2019-04-17,27
2019-04-18,30
2019-04-19,34
2019-04-20,28
2019-04-21,31
2019-04-22,35
2019-04-23,32
2019-04-24,33
2019-04-25,30
2019-04-26,36
2019-04-27,35
2019-04-28,32
2019-04-29,30
2019-04-30,23
2019-05-01,32
2019-05-02,27
2019-05-03,31
2019-05-04,32
2019-05-05,27
2019-05-06,33
2019-05-07,30
2019-05-08,36
2019-05-09,31
2019-05-10,31
2019-05-11,34
2019-05-12,34
2019-05-13,36
2019-05-14,33
2019-05-15,32
2019-05-16,30
2019-05-17,33
2019-05-18,28
2019-05-19,32
2019-05-20,26
2019-05-21,32
2019-05-22,33
2019-05-23,29
2019-05-24,32
2019-05-25,30
2019-05-26,28
2019-05-27,28
2019-05-28,28
2019-05-29,31
2019-05-30,34
2019-05-31,28
2019-06-01,32
2019-06-02,32
2019-06-03,29
2019-06-04,27
2019-06-05,31
2019-06-06,37
2019-06-07,32
2019-06-08,32
2019-06-09,30
2019-06-10,30
2019-06-11,29
2019-06-12,30
2019-06-13,24
2019-06-14,31
2019-06-15,28
2019-06-16,34
2019-06-17,28
2019-06-18,25
2019-06-19,29
2019-06-20,33
2019-06-21,34
2019-06-22,28
2019-06-23,29
2019-06-24,35
2019-06-25,30
2019-06-26,35
2019-06-27,27
2019-06-28,29
2019-06-29,31
2019-06-30,29
2019-07-01,28
2019-07-02,28
2019-07-03,29
2019-07-04,31
2019-07-05,29
2019-07-06,30
2019-07-07,32
2019-07-08,27
2019-07-09,35
2019-07-10,28
2019-07-11,30
2019-07-12,31
2019-07-13,29
2019-07-14,33
2019-07-15,28
2019-07-16,26
2019-07-17,33
2019-07-18,29
2019-07-19,31
2019-07-20,35
2019-07-21,31
2019-07-22,30
2019-07-23,32
2019-07-24,32
2019-07-25,30
2019-07-26,30
2019-07-27,36
2019-07-28,33
2019-07-29,31
2019-07-30,28
2019-07-31,30
2019-08-01,29
2019-08-02,33
2019-08-03,32
2019-08-04,25
2019-08-05,31
2019-08-06,31
2019-08-07,37
2019-08-08,36
2019-08-09,38
2019-08-10,37
2019-08-11,32
2019-08-12,36
2019-08-13,37
2019-08-14,36
2019-08-15,40
2019-08-16,42
2019-08-17,31
2019-08-18,28
2019-08-19,38
2019-08-20,27
2019-08-21,35
2019-08-22,37
2019-08-23,33
2019-08-24,32
2019-08-25,29
2019-08-26,34
2019-08-27,30
2019-08-28,38
2019-08-29,33
