date,n_total
2019-01-01,60
2019-01-02,50
2019-01-03,61
2019-01-04,46
2019-01-05,44
2019-01-06,49
2019-01-07,47
2019-01-08,48
2019-01-09,59
2019-01-10,49
2019-01-11,54
2019-01-12,45
2019-01-13,40
2019-01-14,54
2019-01-15,49
2019-01-16,42
2019-01-17,39
2019-01-18,42
2019-01-19,50
2019-01-20,55
2019-01-21,51
2019-01-22,60
2019-01-23,61
2019-01-24,47
2019-01-25,48
2019-01-26,45
2019-01-27,52
2019-01-28,50
2019-01-29,46
2019-01-30,58
2019-01-31,40
2019-02-01,48
2019-02-02,46
2019-02-03,49
2019-02-04,42
2019-02-05,68
2019-02-06,57
2019-02-07,56
2019-02-08,48
2019-02-09,61
2019-02-10,44
2019-02-11,63
2019-02-12,60
2019-02-13,43
2019-02-14,45
2019-02-15,37
2019-02-16,52
2019-02-17,50
2019-02-18,45
2019-02-19,47
2019-02-20,51
2019-02-21,49
2019-02-22,58
2019-02-23,58
2019-02-24,45
2019-02-25,49
2019-02-26,49
2019-02-27,40
2019-02-28,54
2019-03-01,53
2019-03-02,52
2019-03-03,53
2019-03-04,50
2019-03-05,51
2019-03-06,51
2019-03-07,54
2019-03-08,46
2019-03-09,61
2019-03-10,54
2019-03-11,57
2019-03-12,51
2019-03-13,41
2019-03-14,58
2019-03-15,50
2019-03-16,44
2019-03-17,42
2019-03-18,41
2019-03-19,63
2019-03-20,47
2019-03-21,42
2019-03-22,46
2019-03-23,48
2019-03-24,51
2019-03-25,46
2019-03-26,46
2019-03-27,45
2019-03-28,63
2019-03-29,59
2019-03-30,43
2019-03-31,34
2019-04-01,67
2019-04-02,54
2019-04-03,50
2019-04-04,54
2019-04-05,62
2019-04-06,46
2019-04-07,41
2019-04-08,63
2019-04-09,63
2019-04-10,45
2019-04-11,58
2019-04-12,42
2019-04-13,42
2019-04-14,50
2019-04-15,50
2019-04-16,58
2019-04-17,55
2019-04-18,53
2019-04-19,54
2019-04-20,31
2019-04-21,48
2019-04-22,61
2019-04-23,61
2019-04-24,52
2019-04-25,43
2019-04-26,49
2019-04-27,58
2019-04-28,48
2019-04-29,61
2019-04-30,52
2019-05-01,55
2019-05-02,45
2019-05-03,52
2019-05-04,48
2019-05-05,44
2019-05-06,56
2019-05-07,56
2019-05-08,49
2019-05-09,38
2019-05-10,63
2019-05-11,49
2019-05-12,47
2019-05-13,54
2019-05-14,59
2019-05-15,53
2019-05-16,58
2019-05-17,45
2019-05-18,38
2019-05-19,54
2019-05-20,52
2019-05-21,60
2019-05-22,54
2019-05-23,58
2019-05-24,44
2019-05-25,42
2019-05-26,53
2019-05-27,51
2019-05-28,63
2019-05-29,45
2019-05-30,65
2019-05-31,51
2019-06-01,40
2019-06-02,49
2019-06-03,49
2019-06-04,49
2019-06-05,60
2019-06-06,52
2019-06-07,57
2019-06-08,41
2019-06-09,58
2019-06-10,57
2019-06-11,54
2019-06-12,40
2019-06-13,49
2019-06-14,49
2019-06-15,45
2019-06-16,54
2019-06-17,43
2019-06-18,49
2019-06-19,43
2019-06-20,48
2019-06-21,52
2019-06-22,50
2019-06-23,43
2019-06-24,46
2019-06-25,50
2019-06-26,51
2019-06-27,49
2019-06-28,69
2019-06-29,49
2019-06-30,43
2019-07-01,49
2019-07-02,49
2019-07-03,46
